id,title,average_rating,isbn,isbn13,fk_language_code,num_pages,ratings_count,publication_date,fk_publisher
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,0439785960,9780439785969,23,652,2095690,9/16/2006,1065
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,0439358078,9780439358071,23,870,2153167,9/1/2004,1065
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,0439554896,9780439554893,23,352,6333,11/1/2003,1912
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,043965548X,9780439655484,23,435,2339585,5/1/2004,1065
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),4.78,0439682584,9780439682589,23,2690,41428,9/13/2004,1912
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.74,0976540606,9780976540601,5,152,19,4/26/2005,1367
10,Harry Potter Collection (Harry Potter  #1-6),4.73,0439827604,9780439827607,23,3342,28242,9/12/2005,1912
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),4.38,0517226952,9780517226957,23,815,3628,11/1/2005,1165
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4.38,0345453743,9780345453747,23,815,249558,4/30/2002,1199
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,1400052920,9781400052929,23,215,4930,8/3/2004,193
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,0739322206,9780739322208,23,6,1266,3/23/2005,1670
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),4.38,0517149257,9780517149256,23,815,2877,1/17/1996,1215
21,A Short History of Nearly Everything,4.21,076790818X,9780767908184,23,544,248558,9/14/2004,519
22,Bill Bryson's African Diary,3.44,0767915062,9780767915069,23,55,7270,12/3/2002,519
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.87,0767910435,9780767910439,23,256,2088,9/14/2004,519
24,In a Sunburned Country,4.07,0767903862,9780767903868,23,335,72451,5/15/2001,519
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,076790382X,9780767903820,23,304,49240,6/28/2000,519
26,The Lost Continent: Travels in Small Town America,3.83,0060920084,9780060920081,23,299,45712,8/28/1990,2110
27,Neither Here nor There: Travels in Europe,3.86,0380713802,9780380713806,23,254,48701,3/28/1993,2110
28,Notes from a Small Island,3.91,0380727501,9780380727506,23,324,80609,5/28/1997,2110
29,The Mother Tongue: English and How It Got That Way,3.93,0380715430,9780380715435,23,270,28489,9/28/1991,2110
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,0345538374,9780345538376,23,1728,101233,9/25/2012,1563
31,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,0618517650,9780618517657,23,1184,1710,10/21/2004,2030
34,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,0618346252,9780618346257,23,398,2128944,9/5/2003,2030
35,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,0618260587,9780618260584,5,1216,1618,10/1/2002,2030
36,The Lord of the Rings: Weapons and Warfare,4.53,0618391002,9780618391004,23,218,19822,11/5/2003,2030
37,The Lord of the Rings: Complete Visual Companion,4.5,0618510826,9780618510825,23,224,359,11/15/2004,2030
45,Agile Web Development with Rails: A Pragmatic Guide,3.84,097669400X,9780976694007,23,558,1430,7/28/2005,2118
