fk_bookId,fk_authorId
1,4884
1,5597
2,4884
2,5597
4,4884
5,4884
5,5597
8,4884
8,5597
9,5605
10,4884
12,4947
13,4947
14,4947
16,4947
16,7298
18,4947
21,172
22,172
23,172
24,172
25,172
26,172
27,172
28,172
29,172
30,2345
31,2345
34,2345
35,2345
35,567
36,2151
36,2349
36,5345
37,556
45,776
45,7764
45,824
45,725
45,7692
45,5828
50,7599
51,1871
51,6470
51,5535
53,7599
54,5923
55,4084
57,7295
57,4717
57,8095
57,797
57,1447
57,7391
57,6177
57,830
57,8275
58,202
59,1867
61,2461
63,2336
66,7952
67,1665
68,1665
68,2060
69,1665
71,7077
72,7812
74,5958
74,8554
75,5958
76,5958
77,5958
78,5958
79,5958
80,5958
81,5958
83,5958
85,8356
86,8356
89,4511
90,45
91,4783
91,6568
92,4511
93,7289
93,6523
93,7051
94,4511
96,6568
96,4783
98,233
98,4080
98,4101
98,6410
98,6879
99,7057
99,6290
100,45
103,337
105,337
106,337
107,7088
109,337
110,337
110,7088
110,7691
117,337
119,6877
122,6962
123,6962
129,5437
129,6586
129,8752
130,8451
131,3162
132,5090
133,431
135,2743
135,4472
137,431
138,3723
139,431
140,431
141,7377
141,9182
142,729
144,729
147,615
151,6477
151,1207
151,5820
152,6477
152,2209
152,118
153,6477
153,1207
153,5820
153,7153
154,1206
154,6477
155,6477
155,4054
155,8830
156,6477
156,1065
156,6716
157,6477
157,8830
157,4054
159,7740
160,975
162,8989
162,2649
163,6990
164,7209
164,1777
165,6044
166,3891
166,8550
168,2854
168,6215
168,3884
171,1786
177,5488
177,2684
177,204
180,7793
180,7329
181,5279
182,2540
201,5279
204,1058
205,2070
207,1078
207,6702
207,6654
208,7813
213,4819
213,1228
214,4819
214,2943
216,4819
216,5099
230,4819
231,3825
237,4237
237,3533
237,926
244,1652
245,8272
245,7063
247,8272
249,8272
249,8475
250,8272
251,8272
252,8272
253,8272
264,4393
264,7399
269,4393
269,4660
269,4167
277,2724
278,2724
278,123
280,2724
280,8071
285,721
285,5224
285,5040
288,8365
288,3281
288,721
289,721
289,4772
289,4390
290,721
290,3281
291,721
291,3281
291,7999
292,721
292,3281
295,1842
296,1842
296,5190
297,1842
298,1842
298,5487
298,6188
299,1842
299,4456
302,9225
302,5060
302,1842
313,8234
324,7513
330,8229
332,4086
333,5380
337,2694
348,6988
350,6988
354,6988
355,6988
356,6988
357,4947
359,4947
362,8527
367,5460
377,4947
377,357
382,6760
382,4152
385,4831
386,9104
394,872
397,1117
397,6872
399,3009
400,3009
403,3009
404,3009
406,3009
407,3009
408,3009
409,7474
410,7474
411,7474
412,7474
413,7474
413,5240
413,8683
414,7474
415,7474
416,7474
418,7181
418,7474
420,87
421,87
422,87
423,87
424,87
425,87
426,87
426,2965
428,87
428,8670
431,8128
431,5841
431,5493
432,8128
434,8128
435,8128
444,2683
444,6444
444,4171
446,8128
447,8128
453,8128
454,8128
456,8128
463,8128
466,8128
475,6218
476,585
476,4469
477,7534
478,2784
481,5141
484,6145
484,1069
484,8760
484,1302
484,3069
493,1022
494,6895
494,4114
497,3142
498,1022
498,7195
511,3996
511,5167
511,2551
515,776
515,301
515,3235
523,1553
523,4524
523,781
524,781
531,6579
534,2017
534,2521
537,2366
538,2366
539,8377
565,2815
565,5280
570,5837
576,8274
576,986
576,3457
597,264
599,264
619,5376
629,1191
639,1901
639,7760
639,7543
642,2547
642,4821
643,947
650,2391
650,6952
655,6477
655,6623
656,6477
656,8807
656,6716
656,1065
658,6477
658,8830
662,7028
662,815
663,7028
664,7028
665,7028
665,7453
667,7028
668,7028
668,815
669,7028
669,7453
669,4493
669,174
670,7028
670,1409
670,815
672,4840
672,846
675,3492
676,5245
678,5069
681,7458
685,7628
685,5003
698,4727
700,4379
700,6704
702,1137
702,7263
703,1841
707,8666
759,7513
759,4432
759,2492
762,7513
763,7513
764,7513
765,7513
765,2323
766,7513
771,2695
775,6498
775,4337
787,7678
787,7592
787,3440
793,1765
793,4321
793,6605
797,1765
797,4321
797,1469
799,1765
799,919
815,2096
816,672
821,672
822,672
823,672
824,672
824,6500
826,672
827,672
827,3066
828,672
828,9143
828,8531
829,672
830,672
830,3355
834,7219
834,2731
835,7219
835,2731
840,8803
841,8803
842,8803
848,4211
848,304
848,7528
864,8793
864,1298
864,6237
865,8793
865,1298
865,982
866,3498
866,2986
868,3498
868,2986
869,3498
869,2986
870,3498
870,2986
871,3498
871,2986
872,8793
872,1298
872,6089
873,3498
873,2986
880,3948
888,1991
888,4360
890,443
900,6806
902,6474
903,2461
929,5421
930,5421
931,5421
932,4691
932,3879
932,5787
932,5421
933,5421
935,2591
935,5420
941,4110
941,5277
944,7747
944,2906
955,2639
960,2237
965,2237
966,2237
966,2806
968,2237
969,2237
972,2237
972,8449
975,2237
977,2237
980,2237
987,4068
998,8788
998,5320
1005,8411
1007,8411
1014,632
1022,5866
1032,7521
1032,4969
1052,4626
1053,4626
1059,3927
1059,4881
1067,4122
1068,7932
1068,4803
1073,4507
1078,4883
1090,8811
1097,8246
1099,8246
1103,4594
1110,2686
1111,7594
1117,3325
1120,3018
1120,4010
1121,4361
1121,5691
1123,3018
1130,3091
1130,1893
1130,9144
1138,1121
1138,6976
1164,4197
1164,8735
1167,5510
1167,2324
1169,6749
1171,7583
1177,2526
1188,6318
1188,5194
1188,3140
1191,1794
1191,3121
1192,1794
1193,1794
1193,3121
1196,8999
1196,2616
1197,8999
1197,4730
1197,1199
1197,2294
1198,8999
1198,2616
1202,7886
1202,8258
1204,7886
1204,8258
1206,7886
1206,8258
1218,5814
1226,6031
1230,6031
1230,5579
1230,4195
1234,5982
1241,6669
1242,6163
1243,5051
1243,848
1246,6684
1246,4505
1252,3257
1255,5465
1265,6788
1274,7790
1276,7790
1281,7790
1290,3632
1290,2817
1295,7816
1296,7816
1301,7583
1302,2316
1303,1102
1303,415
1305,4268
1307,5687
1307,1476
1312,7067
1315,4268
1317,4268
1318,4268
1319,4268
1319,6366
1320,5775
1320,4268
1322,3668
1322,4268
1326,57
1326,4689
1327,57
1327,4390
1328,57
1328,7386
1334,57
1334,8620
1337,9224
1337,5790
1337,5137
1338,57
1338,6977
1342,57
1342,1252
1351,57
1351,7386
1354,57
1354,4689
1354,1941
1362,544
1362,8659
1362,2571
1363,544
1363,8659
1363,2571
1364,544
1364,2004
1365,544
1365,548
1365,4390
1366,544
1366,8659
1366,9158
1367,544
1367,5417
1367,485
1368,544
1368,5855
1368,7220
1368,3881
1369,544
1369,7826
1371,1504
1371,8181
1371,8270
1373,1504
1373,6059
1373,6865
1374,1504
1374,2115
1374,4464
1375,1504
1375,8181
1375,8270
1376,1504
1376,8131
1376,7669
1376,7230
1377,1504
1377,308
1378,1504
1378,6865
1378,6059
1381,1504
1381,8181
1381,8270
1382,1504
1382,2115
1382,1993
1383,1504
1383,2062
1384,1504
1384,8131
1384,7669
1384,7230
1387,1504
1387,308
1391,901
1391,7651
1402,901
1402,2348
1402,266
1403,5491
1405,901
1405,4576
1408,3601
1417,3242
1417,6772
1417,3098
1419,3242
1420,3242
1420,4199
1420,1084
1423,5341
1423,9030
1423,7626
1423,6439
1424,8793
1424,1298
1425,8793
1425,1298
1426,8793
1427,8793
1427,8120
1428,8793
1428,1298
1429,8793
1429,3849
1431,8793
1431,8120
1431,465
1433,3242
1433,6772
1433,3098
1437,3384
1438,3242
1438,2628
1439,8526
1439,5886
1440,3075
1440,4407
1441,3075
1441,4322
1444,3075
