id,name
0,Editorial Presença
1,Shaw Books
2,Random House UK Distribution
3,Cleis Press
4,Fithian Press
5,Amereon Ltd
6,Lodestar Books
7,Bloomsbury Academic
8,Ember
9,HMH Books for Young Readers
10,Roaring Brook Press
11,Times Books
12,Clarion Books
13,Harcourt  Brace Jovanovich/Harvest
14,Harper Paperbacks
15,Simon & Schuster Books for Young Readers
16,Grupo Editorial Norma  S.A.
17,Stone Bridge Press
18,Charlesbridge
19,Disinformation Books
20,Orion Publishing Co.
21,Silhouette
22,Borgo Press
23,Running Press
24,Cambridge University Press
25,HJ Kramer
26,Avery Publishing Group
27,Nostalgia Ventures
28,Graywolf Press
29,Atlantic Books
30,Mel Bay Publications  Inc.
31,Onyx
32,O'Reilly Media
33,Pearson Education
34,Vintage Books
35,Broadway
36,Capstone Press
37,F. Meiner
38,Tuttle Publishing
39,Paul S. Eriksson
40,Rufus Publications
41,Cumberland House Publishing
42,Atlantic Books (UK)
43,Heinemann Educational Books
44,HarperCollins
45,Tarcherperigee
46,Wasendorf & Associates Inc
47,Routledge/Taylor & Francis Ltd.
48,Saunders
49,Pan Childrens
50,Luna
51,Polity Press
52,Random House  Inc.
53,Plaza & Janés Editores  S.A.
54,Éditions 10/18
55,Alliance Publishing
56,MacMillan UK
57,Diamond/Charter
58,Inner Light - Global Communications
59,Poisoned Pen Press
60,Crystal Clarity Publishers
61,Bantam Books  Inc.
62,Beach Lane Books
63,Allen Lane
64,Modern Library/Random House (NY)
65,Three Rivers Press (CA)
66,International Publishers
67,Sams
68,Poorhouse Press
69,Modern Library
70,Bantam Skylark
71,Clarendon Press
72,Th1nk Books
73,Berkley Trade
74,Hachette Jeunesse
75,Lerner Publications
76,BradyGames
77,Pocket Books/Simon & Schuster (NY)
78,Moody Publishers (Chicago)
79,Alpha Books
80,Panamericana Editorial
81,Stonewall Inn Editions
82,Mountaineers Books
83,William Morrow & Company
84,Washington Square Press
85,CMX
86,Princeton University Press (NJ)
87,Klett
88,Alianza Editorial
89,Travelers' Tales
90,Purple House Press
